id,community_names,region,price,total_price,house_types,area,orientation,decoration,floor_levels,build_time,building_types
1,东营前街 ,万达,"27,473元/平",165,2室1厅,60.06平米,南 北,简装,中楼层(共6层) ,,板楼
2,首开熙悦山熹园3号院 ,长阳,"34,162元/平",286,2室1厅,83.72平米,南,精装,低楼层(共21层),2013年,板塔结合
3,和义西里四区 ,和义,"41,652元/平",350,3室1厅,84.03平米,南 北,简装,中楼层(共6层) ,,板楼
4,畅柳园 ,陶然亭,"110,261元/平",576,1室1厅,52.24平米,南,简装,中楼层(共16层),2004年,板塔结合
5,大安澜营 ,宣武门,"153,466元/平",155,1室1厅,10.1平米,东,其他,底层(共1层) ,,暂无数据
6,南三环中路71号院 ,洋桥,"46,608元/平",360,2室1厅,77.24平米,南,精装,高楼层(共17层) ,,塔楼
7,博客雅居 ,亦庄,"34,036元/平",202,1室1厅,59.35平米,西南,简装,低楼层(共24层),2008年,塔楼
8,南竺园 ,首都机场,"22,660元/平",205,3室1厅,90.47平米,南 北,精装,顶层(共6层),1993年,板楼
9,六铺炕二区 ,六铺炕,"142,583元/平",1038,4室1厅,72.8平米,南 北,简装,底层(共6层) ,,板楼
10,团河苑 ,枣园,"26,390元/平",160,2室1厅,60.63平米,南 北,简装,底层(共6层) ,,板楼
11,本家润园一期 ,东花市,"126,657元/平",1730,3室1厅,136.59平米,南 北,简装,低楼层(共13层) ,,板楼
12,新华联家园南区 ,果园,"34,039元/平",425,3室1厅,124.86平米,南 北,简装,中楼层(共7层),2002年,板楼
13,天畅园 ,奥林匹克公园,"54,600元/平",273,1室0厅,50平米,东北,精装,中楼层(共32层),2008年,塔楼
14,英嘉公寓 ,西单,"109,391元/平",1780,3室1厅,162.72平米,西南 北,精装,11层 ,,板塔结合
15,开阳里三区 ,北京南站,"50,851元/平",338,2室1厅,66.47平米,东 北,简装,高楼层(共18层),1997年,塔楼
16,建新南区 ,顺义城,"38,730元/平",278,2室1厅,71.78平米,南 北,简装,6层,1988年,塔楼
